Date,portfolio,Mkt-RF,SMB,HML,RF
2009-04,0.062367208933542306,10.18,5.28,5.26,0.01
2009-05,0.06293079129225232,5.21,-2.52,0.37,0.0
2009-06,0.00020914299305441197,0.43,2.66,-2.72,0.01
2009-07,0.06023847455106068,7.72,1.87,4.84,0.01
2009-08,0.017754950325330254,3.33,-1.08,7.63,0.01
2009-09,0.05563084493655568,4.08,2.43,1.04,0.01
2009-10,-0.011567886259251314,-2.59,-4.34,-4.2,0.0
2009-11,0.05480187335890574,5.56,-2.39,-0.33,0.0
2009-12,0.026417737353258364,2.75,6.04,-0.17,0.01
2010-01,-0.04272961625840488,-3.36,0.4,0.43,0.0
2010-02,0.02679353897826653,3.4,1.19,3.22,0.0
2010-03,0.05742286430869026,6.31,1.48,2.21,0.01
2010-04,0.01658923974547233,2.0,4.87,2.89,0.01
2010-05,-0.06576374640144422,-7.89,0.09,-2.44,0.01
2010-06,-0.032488932285404504,-5.57,-1.81,-4.7,0.01
2010-07,0.04892592656801553,6.93,0.24,-0.3,0.01
2010-08,-0.02822733958610979,-4.77,-2.95,-1.96,0.01
2010-09,0.10095662420690732,9.54,3.96,-3.17,0.01
2010-10,0.04150568316807468,3.88,1.21,-2.49,0.01
2010-11,0.010966935472306094,0.6,3.77,-0.88,0.01
2010-12,0.03483574796760114,6.82,0.67,3.78,0.01
2011-01,0.010448521984906645,1.99,-2.44,0.77,0.01
2011-02,0.039923550449993295,3.49,1.47,1.24,0.01
2011-03,0.0032040015712748726,0.46,2.56,-1.88,0.01
2011-04,0.02704609952269066,2.9,-0.32,-2.48,0.0
2011-05,-0.016046935979764032,-1.27,-0.65,-2.0,0.0
2011-06,-0.015751560226141992,-1.75,-0.14,-0.38,0.0
2011-07,0.003823732880212871,-2.35,-1.29,-0.91,0.0
2011-08,-0.04909713016785189,-5.99,-3.07,-2.4,0.01
2011-09,-0.07433189625076675,-7.59,-3.33,-1.75,0.0
2011-10,0.10193903763894774,11.35,3.3,0.12,0.0
2011-11,-0.0066908939550865965,-0.28,-0.17,-0.46,0.0
2011-12,-0.012153916075209437,0.74,-0.6,1.61,0.0
2012-01,0.05173737290263869,5.05,2.06,-0.94,0.0
2012-02,0.05491222016930308,4.42,-1.86,0.43,0.0
2012-03,0.03760208989170266,3.11,-0.66,1.12,0.0
2012-04,-0.0011605515037701464,-0.85,-0.41,-0.77,0.0
2012-05,-0.05616524482966778,-6.19,0.09,-1.06,0.01
2012-06,0.023392450076462623,3.89,0.64,0.59,0.0
2012-07,0.008020580400933008,0.79,-2.72,-0.12,0.0
2012-08,0.024797609023020417,2.55,0.48,1.3,0.01
2012-09,0.031055860677800196,2.73,0.54,1.58,0.01
2012-10,-0.035893685451634294,-1.76,-1.17,3.56,0.01
2012-11,0.01887542590597535,0.78,0.61,-0.83,0.01
2012-12,-0.008943606216262334,1.18,1.52,3.53,0.01
2013-01,0.05034559624554902,5.57,0.31,0.95,0.0
2013-02,0.004094588090205242,1.29,-0.33,0.1,0.0
2013-03,0.046523631222594064,4.03,0.83,-0.23,0.0
2013-04,0.01823162243951426,1.55,-2.36,0.5,0.0
2013-05,0.01977755421162497,2.8,1.72,2.67,0.0
2013-06,-0.017213566227482158,-1.2,1.32,0.05,0.0
2013-07,0.051728050142381354,5.65,1.87,0.57,0.0
2013-08,-0.015210531336074307,-2.71,0.26,-2.68,0.0
2013-09,0.051860435624423884,3.77,2.9,-1.23,0.0
2013-10,0.04855291238776416,4.18,-1.56,1.26,0.0
2013-11,0.028518827512436173,3.13,1.29,0.28,0.0
2013-12,-0.04452393298937263,2.81,-0.46,-0.01,0.0
2014-01,0.04861175407986118,-3.32,0.92,-2.02,0.0
2014-02,0.044791903328847305,4.65,0.37,-0.31,0.0
2014-03,-0.016179156382170268,0.43,-1.87,4.92,0.0
2014-04,-0.01788517932146394,-0.19,-4.2,1.14,0.0
2014-05,0.03301397788560845,2.06,-1.89,-0.13,0.0
2014-06,0.02412378122224834,2.61,3.09,-0.69,0.0
2014-07,-0.014394965500930557,-2.04,-4.26,-0.02,0.0
2014-08,0.04442850086527672,4.24,0.38,-0.43,0.0
2014-09,-0.01134380132980195,-1.97,-3.71,-1.36,0.0
2014-10,0.014836933168610456,2.52,4.24,-1.85,0.0
2014-11,0.021539943259471617,2.55,-2.03,-3.12,0.0
2014-12,-0.06526109506059885,-0.06,2.48,2.29,0.0
2015-01,0.049068951794293714,-3.11,-0.54,-3.61,0.0
2015-02,0.04965850050637122,6.13,0.6,-1.85,0.0
2015-03,0.004681969878529202,-1.12,3.06,-0.41,0.0
2015-04,-0.008419154843943177,0.59,-3.04,1.83,0.0
2015-05,0.02157598891374879,1.36,0.91,-1.1,0.0
2015-06,-0.0029334925174058224,-1.53,2.88,-0.76,0.0
2015-07,0.034618321248919726,1.54,-4.2,-4.07,0.0
2015-08,-0.05962087973259078,-6.04,0.36,2.8,0.0
2015-09,-0.020562500772067227,-3.07,-2.63,0.57,0.0
